Instance;mean my-heuristic;median my-heuristic;mean cs2sar;median cs2sar;p-value less;p-value greater;holm less;holm greater
nrw1379_n4134_bounded-strongly-corr_03.ttp;494322.9;494354.5;485588.9;485589;0.999912687895724;0.000117843232851777;1;0.0129627556136954
nrw1379_n4134_bounded-strongly-corr_07.ttp;754988.3;755083.5;750689.5;754601;0.999896792825789;0.000138829397170351;1;0.0149935748943979
nrw1379_n4134_uncorr-similar-weights_03.ttp;234493.2;234493.5;232032.3;233927;0.999940084485163;8.15244677682689e-05;1;0.00937531379335092
nrw1379_n4134_uncorr-similar-weights_07.ttp;360069.8;360070;356009.6;359914;0.999944275564139;7.60266087482e-05;1;0.00896356598109298
nrw1379_n4134_uncorr_03.ttp;346226.8;346227;344777.6;345878;0.99995495450167;6.19455525136219e-05;1;0.00761930295917549
nrw1379_n4134_uncorr_07.ttp;465118;465118;457470.1;452475;0.99994495200404;7.51378494289523e-05;1;0.00896356598109298
pcb442_n1323_bounded-strongly-corr_03.ttp;212138.8;212321;202259;210447;0.999956699647102;7.57756175712832e-05;1;0.00896356598109298
pcb442_n1323_bounded-strongly-corr_07.ttp;321617.3;324219;318879.5;324219;0.942537119209475;0.0676578827000068;1;1
pcb442_n1323_uncorr-similar-weights_03.ttp;95458;96507;94793.4;96507;0.748184370550834;0.292124276588607;1;1
pcb442_n1323_uncorr-similar-weights_07.ttp;165929;165929;165929;165929;1;1;1;1
pcb442_n1323_uncorr_03.ttp;147150;147150;146177.555555556;147150;0.876874150153736;0.171390855573956;1;1
pcb442_n1323_uncorr_07.ttp;194277.4;194283;192610;194227;0.999956254025794;6.21180617156105e-05;1;0.00761930295917549
pcb442_n4410_bounded-strongly-corr_03.ttp;651679.1;651684.5;636302.6;651630.5;0.939457708284839;0.0701579167350802;1;1
pcb442_n4410_bounded-strongly-corr_07.ttp;1061237.8;1061238.5;1050031.9;1060562;0.999938636145019;8.34210445908645e-05;1;0.00950999908335856
pcb442_n4410_uncorr-similar-weights_03.ttp;312676.1;312676;303764.5;312676.5;0.515512527412191;0.515512527412191;1;1
pcb442_n4410_uncorr-similar-weights_07.ttp;531444.3;531444;518810.2;531444;0.877124817728043;0.139919128978641;1;1
pcb442_n4410_uncorr_03.ttp;464180.2;464180;463695.6;463696;0.999958325121315;5.74766130101716e-05;1;0.00712710001326127
pcb442_n4410_uncorr_07.ttp;632743.2;632743;628632.2;632743;0.894458809899068;0.120511719924143;1;1
pla85900_n257697_bounded-strongly-corr_03.ttp;30384990.7;30456319;30392472.7;30375902.5;0.485256229838273;0.544101409426487;1;1
pla85900_n257697_bounded-strongly-corr_07.ttp;46960197.4;46991843;46935794.5;46933294;0.735575569940895;0.289370845872394;1;1
pla85900_n257697_uncorr-similar-weights_03.ttp;13481205;13481205;13473941.8;13481205;0.987256348201122;0.0167948403813884;1;1
pla85900_n257697_uncorr-similar-weights_07.ttp;23883521;23883521;23880595.7;23883521;0.864333939053617;0.18406012534676;1;1
pla85900_n257697_uncorr_03.ttp;23132865.5;23135221;23118732.5;23111666;0.996673756677246;0.00433522637731908;1;0.433522637731908
pla85900_n257697_uncorr_07.ttp;31168868;31168868;31166518.4;31168868;0.864333939053617;0.18406012534676;1;1
pla85900_n858990_bounded-strongly-corr_03.ttp;95977842.2;95943099;95937032.2;95822657.5;0.544101409426487;0.485256229838273;1;1
pla85900_n858990_bounded-strongly-corr_07.ttp;151168672.5;151226044.5;151291357.9;151262593;0.0525612158739094;0.955395223971075;1;1
pla85900_n858990_uncorr-similar-weights_03.ttp;48665201;48665201;48665201;48665201;1;1;1;1
pla85900_n858990_uncorr-similar-weights_07.ttp;82398242;82398242;82385748.8;82398242;0.864333939053617;0.18406012534676;1;1
pla85900_n858990_uncorr_03.ttp;75268816;75268816;75260404;75268816;0.936447066803415;0.0837443777874273;1;1
pla85900_n858990_uncorr_07.ttp;105335024;105335024;105335024;105335024;1;1;1;1
rl5934_n17799_bounded-strongly-corr_03.ttp;2543698.6;2543698;2546218.8;2543707.5;0.144686947797476;0.871848876151779;1;1
rl5934_n17799_bounded-strongly-corr_07.ttp;4100238;4100238;3990199.3;3962694;0.999163923982608;0.00108007036110765;1;0.111247247194088
rl5934_n17799_uncorr-similar-weights_03.ttp;1241737.2;1241548.5;1230166.3;1241542;0.907227124610512;0.105974953082521;1;1
rl5934_n17799_uncorr-similar-weights_07.ttp;1994653.4;2003751.5;1975322.8;1956373.5;0.948075209101513;0.0604723162149935;1;1
rl5934_n17799_uncorr_03.ttp;1760567.1;1760475;1743686.1;1732383;0.968038932698273;0.0377757927648433;1;1
rl5934_n17799_uncorr_07.ttp;2438551.8;2438022.5;2428453.4;2438016.5;0.968188833699933;0.0376108326740687;1;1
